GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.0001, DECAY 0: BEST VALID F1: 63.707% AT EPOCH 44, TRAINED FOR 45 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.0001, DECAY 1e-06: BEST VALID F1: 65.118% AT EPOCH 42, TRAINED FOR 46 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.0001, DECAY 1e-05: BEST VALID F1: 63.027% AT EPOCH 33, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.0005, DECAY 0: BEST VALID F1: 68.581% AT EPOCH 28, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.0005, DECAY 1e-06: BEST VALID F1: 67.065% AT EPOCH 27, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.0005, DECAY 1e-05: BEST VALID F1: 66.546% AT EPOCH 17, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.001, DECAY 0: BEST VALID F1: 68.976% AT EPOCH 34, TRAINED FOR 35 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.001, DECAY 1e-06: BEST VALID F1: 68.526% AT EPOCH 20, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.001, DECAY 1e-05: BEST VALID F1: 67.680% AT EPOCH 30, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.005, DECAY 0: BEST VALID F1: 66.369% AT EPOCH 21, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.005, DECAY 1e-06: BEST VALID F1: 68.057% AT EPOCH 40, TRAINED FOR 42 EPOCHS
GLOVE 200, POS 10, HIDDEN 256, LAYERS 3, LR 0.005, DECAY 1e-05: BEST VALID F1: 65.671% AT EPOCH 35, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 0: BEST VALID F1: 61.657% AT EPOCH 48, TRAINED FOR 51 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 1e-06: BEST VALID F1: 60.876% AT EPOCH 49, TRAINED FOR 52 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.0001, DECAY 1e-05: BEST VALID F1: 61.123% AT EPOCH 40, TRAINED FOR 44 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 0: BEST VALID F1: 66.024% AT EPOCH 38, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 1e-06: BEST VALID F1: 65.949% AT EPOCH 38, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.0005, DECAY 1e-05: BEST VALID F1: 64.819% AT EPOCH 25, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 0: BEST VALID F1: 65.850% AT EPOCH 35, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 1e-06: BEST VALID F1: 66.017% AT EPOCH 28, TRAINED FOR 38 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.001, DECAY 1e-05: BEST VALID F1: 64.791% AT EPOCH 24, TRAINED FOR 33 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 0: BEST VALID F1: 63.329% AT EPOCH 13, TRAINED FOR 31 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 1e-06: BEST VALID F1: 64.707% AT EPOCH 19, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 2, LR 0.005, DECAY 1e-05: BEST VALID F1: 64.837% AT EPOCH 23, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.0001, DECAY 0: BEST VALID F1: 62.081% AT EPOCH 42, TRAINED FOR 50 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.0001, DECAY 1e-06: BEST VALID F1: 60.933% AT EPOCH 39, TRAINED FOR 43 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.0001, DECAY 1e-05: BEST VALID F1: 62.906% AT EPOCH 46, TRAINED FOR 48 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.0005, DECAY 0: BEST VALID F1: 65.937% AT EPOCH 20, TRAINED FOR 41 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.0005, DECAY 1e-06: BEST VALID F1: 65.474% AT EPOCH 28, TRAINED FOR 40 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.0005, DECAY 1e-05: BEST VALID F1: 66.306% AT EPOCH 43, TRAINED FOR 44 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.001, DECAY 0: BEST VALID F1: 68.066% AT EPOCH 31, TRAINED FOR 39 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.001, DECAY 1e-06: BEST VALID F1: 68.497% AT EPOCH 29, TRAINED FOR 37 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.001, DECAY 1e-05: BEST VALID F1: 67.094% AT EPOCH 29, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.005, DECAY 0: BEST VALID F1: 65.735% AT EPOCH 27, TRAINED FOR 34 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.005, DECAY 1e-06: BEST VALID F1: 65.763% AT EPOCH 18, TRAINED FOR 36 EPOCHS
GLOVE 200, POS 25, HIDDEN 128, LAYERS 3, LR 0.005, DECAY 1e-05: BEST VALID F1: 65.824% AT EPOCH 40, TRAINED FOR 46 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.0001, DECAY 0: BEST VALID F1: 63.610% AT EPOCH 47, TRAINED FOR 51 EPOCHS
GLOVE 200, POS 25, HIDDEN 256, LAYERS 2, LR 0.0001, DECAY 1e-06: BEST VALID F1: 62.804% AT EPOCH 40, TRAINED FOR 42 EPOCHS
